"schema","uuid","id","title","datasetcreationdate","abstract","keyword","geoBox","temporalExtent","image","responsibleParty","link","metadatacreationdate","LegalConstraints"
"iso19139","3f6216e2-38ae-41cd-8e42-41720633f272","290","Alpena Thunder Bay RECON buoy (45162) [out of the water for the season]","2012-05-14","In-situ buoy in Lake Michigan, Alpena (Thunder Bay), operated by NOAA, Great Lakes Environmental Research Laboratory (GLERL).","atmospheric pressure###air temperature###dew point temperature###significant wave height###wave period###water temperature###wind speed/wind direction###Longitude -83.331###Latitude 44.983###Lake Michigan###Alpena, MI###Thunder Bay,MI###Great Lakes###observationsBuoys###climatology###temperature###atmospheric pressure###air temperature###dew point temperature###significant wave height###wave period###water temperature###wind speed/wind direction###air pressure###dew point###significant wave period###water temperature - surface###wind speed###wind gust###wind from direction###thermistor###NDBC ID 45162###GLERL###waves###buoys###observations###Lake Michigan###Alpena###MI###Thunder Bay,MI###Great Lakes###WindDirection###Significant Wave Period###WindSpeed###SignificantWaveHeight###AirTemperature###Wind Gust###WaterTemperature###significant_wave_from_direction","-83.331###-83.331###44.983###44.983","2012-05-14","http://data.glos.us:80/metadata/srv/eng/resources.get?uuid=3f6216e2-38ae-41cd-8e42-41720633f272&fname=45162photo-apn.png###http://data.glos.us:80/metadata/srv/eng/resources.get?uuid=3f6216e2-38ae-41cd-8e42-41720633f272&fname=photo-apn_s.png","Steven RubergNOAA-Great Lakes Environmental Research Laboratory2205 Commonwealth BlvdAnn ArborMI48105steve.ruberg@noaa.govhttp://www.glerl.noaa.gov/res/recon/station-apn.html###Kathy KochLimnoTechData CuratorAnn ArborMIUSAkkoch@limno.com","###http://glbuoys.glos.us/45162######http://www.ndbc.noaa.gov/station_page.php?station=45162######http://data.glos.us/portal/getObsByPlatform.php?provider=glos&platform=RECON+Alpena-Thunder+Bay+Buoy+++######http://data.glos.us/metadata?uuid=3f6216e2-38ae-41cd-8e42-41720633f272","2018-10-09T16:52:30","",
"iso19139","ef5af3b2-aea9-4125-a85f-b08f521b771b","1386","Vermont EPSCoR meteorological station-Lake Champlain (45166) [out of the water for the season]","2017-08-01","Data supplied is from a meteorological buoy deployed in the Inland Sea of Lake Champlain. It consists of standard meteorological observations (wind speed, wind direction, air temperature, humidity, incoming solar radiation, air pressure) as well as water temperaturesat various depths within the water column, an Acoustic Doppler Current Profiler and 4 above-water cameras set up 90° apart from each other.","air temperature###dew point temperature###significant wave height###wave period###water temperature###wind speed/wind direction###dew point###significant wave period###water temperature - surface###wind speed###wind gust###wind from direction###thermistor###NDBC ID 45166###waves###buoys###observations###atmospheric pressure###air temperature###dew point temperature###significant wave height###wave period###water temperature###wind speed/wind direction###Lake Champlain###Vermont###meteorological observations###ADCP###inland sea###Longitude -73.258180###Latitude 44.785069###Lake Champlain###Vermont###observationsBuoys###climatology###temperature###WindDirection###Significant Wave Period###WindSpeed###SignificantWaveHeight###AirTemperature###Dew Point###Wind Gust###WaterTemperature###WaterTemperature @   3 ft###WaterTemperature @  10 ft###WaterTemperature @  13 ft###WaterTemperature @  16 ft###WaterTemperature @  20 ft###WaterTemperature @  23 ft###WaterTemperature @  26 ft###WaterTemperature @  30 ft###WaterTemperature @  33 ft###WaterTemperature @  36 ft###WaterTemperature @  39 ft###WaterTemperature @  43 ft###WaterTemperature @  46 ft###WaterTemperature @  49 ft###WaterTemperature @  52 ft###WaterTemperature @  56 ft###eastward_current###northward_current###battery_voltage###significant_wave_from_direction","-73.26###-73.26###44.79###44.79","2017-08-01","http://data.glos.us:80/metadata/srv/eng/resources.get?uuid=ef5af3b2-aea9-4125-a85f-b08f521b771b&fname=45166_mini_s.png###http://data.glos.us:80/metadata/srv/eng/resources.get?uuid=ef5af3b2-aea9-4125-a85f-b08f521b771b&fname=45166_mini.png","Tom ManleyMiddlebury Collegevisiting assistant Prof.802-443-3114Middlebury College, Department of geology, 242 Bicentennial WayMiddleburyVT05753tmanley@middlebury.eduwww.middleburycollege.edu###Tom ManleyMiddlebury Collegevisiting assistant Prof.802-443-3114Middlebury College, Department of geology, to force you Bicentennial WayMiddleburyVT05753USAtmanley@middlebury.edu","###http://glbuoys.glos.us/45166######http://epscor.w3.uvm.edu/2/node/977######http://www.ndbc.noaa.gov/station_page.php?station=45166######http://data.glos.us/portal/getObsByPlatform.php?provider=glos&platform=Lake+Champlain+%3F+Inland+Sea######http://data.glos.us/metadata?uuid=ef5af3b2-aea9-4125-a85f-b08f521b771b","2018-10-09T16:56:40","######Other constraints Acknowledgments of the Vermont EPSCoR  BREE program if data is used in any publication or dispersal of said data. ###Acknowledgments of the Vermont EPSCoR BREE program if data is used in any publication or dispersal of said data.",
"iso19139","dbccce4c-6b18-4f4b-b70a-ff043d37c702","491","Illinois-Indiana Sea Grant Buoy (45170)","2016-10-04","This buoy is located three miles offshore of Michigan City, Indiana. The buoy, jointly owned and operated by Illinois-Indiana Sea Grant and the Purdue University Department of Civil Engineering, will advance the understanding of near-shore waters, alert the public to hazardous conditions, protect water quality and improve weather forecasts. From about April 1 to Nov. 1 each year, the TIDAS 900 buoy will relay real-time information on wind speed, air and water temperature, wave height and direction, and other environmental characteristics.","air pressure###air temperature###dew point###significant wave height###significant wave period###water temperature - surface###wind speed###wind gust###wind from direction###thermistor###NDBC ID 45170###Longitude -86.968###Latitude 41.755###Lake Michigan###Michigan City, IN###air pressure###dew point###significant wave period###significant wave height###water temperature - surface###wind speed###wind gust###wind from direction###NDBC ID 45170###Lake Michigan###Great Lakes###GLOS_funded###IN###observationsBuoys###climatology###temperature###WindDirection###Significant Wave Period###WindSpeed###SignificantWaveHeight###AirTemperature###Dew Point###Wind Gust###Solar Radiation###WaterTemperature###battery_voltage###significant_wave_from_direction###WaterTemperature @   3 ft###WaterTemperature @   7 ft###WaterTemperature @  10 ft###WaterTemperature @  13 ft###WaterTemperature @  16 ft###WaterTemperature @  20 ft###WaterTemperature @  23 ft###WaterTemperature @  26 ft###WaterTemperature @  30 ft###WaterTemperature @  33 ft###WaterTemperature @  36 ft###WaterTemperature @  39 ft###WaterTemperature @  43 ft###WaterTemperature @  46 ft###WaterTemperature @  49 ft###WaterTemperature @  52 ft###WaterTemperature @  56 ft","-86.968###-86.968###41.755###41.755","2016-10-04","http://data.glos.us:80/metadata/srv/eng/resources.get?uuid=dbccce4c-6b18-4f4b-b70a-ff043d37c702&fname=45170_s.png###http://data.glos.us:80/metadata/srv/eng/resources.get?uuid=dbccce4c-6b18-4f4b-b70a-ff043d37c702&fname=45170.png","Jay BeuglyIllinois-Indiana Sea GrantAquatic Ecology Specialistjbeugly@purdue.eduhttp://www.iisgcp.org/buoy/index.php###Kathy KochLimnoTechData Curator734-332-1200Ann ArborMI48108USAkkoch@limno.com","###http://glbuoys.glos.us/45170######http://iiseagrant.org/buoy/index.php######http://data.glos.us/portal/getObsByPlatform.php?provider=glos&provider=glos&platform=Illinois-Indiana+Sea+Grant+Buoy+%2845170%29+-+Michigan+City%2C+Indiana######http://www.ndbc.noaa.gov/station_page.php?station=45170######http://data.glos.us/metadata?uuid=dbccce4c-6b18-4f4b-b70a-ff043d37c702","2018-10-09T17:00:17","",
"iso19139","2a18080d-cb01-4d3e-abe5-1f12d89eed53","285","South Haven buoy (45168)","2014-08-22","GLOS in-situ buoy in Lake Michigan near South Haven. Owned and maintained by LimnoTech. The South Haven buoy is funded through a NOAA Coastal Storms grant with ongoing support from the City of South Haven, Van Buren County, and Entergy – Palisades Nuclear Plant.","air temperature###significant wave height###wave period###water temperature###wind speed/wind direction###atmospheric pressure###dew point temperature###significant wave period###water temperature - surface###wind speed###wind from direction###air pressure at sea level###sea surface wave significant height###sea surface wind wave period###wind speed of gust###GLOS###NDBC ID 45168###buoys###waves###observations###air temperature###significant wave height###wave period###water temperature###wind speed/wind direction###atmospheric pressure###dew point temperature###Lake Michigan###South Haven###MI###Great Lakes###Longitude -83.331###Latitude 42.397###Lake Michigan###South Haven, MI###Great Lakes###observationsBuoys###climatology###temperature###WindDirection###Significant Wave Period###WindSpeed###SignificantWaveHeight###AirTemperature###Dew Point###Wind Gust###Air Pressure###WaterTemperature###WaterTemperature @   3 ft###WaterTemperature @  10 ft###WaterTemperature @  16 ft###WaterTemperature @  23 ft###WaterTemperature @  30 ft###WaterTemperature @  36 ft###WaterTemperature @  43 ft###WaterTemperature @  49 ft###WaterTemperature @  56 ft###battery_voltage###max_wave_height###significant_wave_from_direction###Solar Radiation###WaterTemperature @  62 ft","-86.331###-86.331###42.397###42.397","2014-08-22","http://data.glos.us:80/metadata/srv/eng/resources.get?uuid=2a18080d-cb01-4d3e-abe5-1f12d89eed53&fname=45168_Buoy_1_0_sm_s.png###http://data.glos.us:80/metadata/srv/eng/resources.get?uuid=2a18080d-cb01-4d3e-abe5-1f12d89eed53&fname=45168_Buoy_1_0.png","Ed VerhammeLimnoTecheverhamme@limno.comhttp://www.limno.com###Kathy KochLimnoTech / GLOSData Curator734-332-1200Ann ArborMIUSAkkoch@limno.com","###http://glbuoys.glos.us/45168######http://www.ndbc.noaa.gov/station_page.php?station=45168######http://data.glos.us/portal/getObsByPlatform.php?provider=glos&platform=Station+45168+-+South+Haven%2C+MI######http://data.glos.us/metadata?uuid=2a18080d-cb01-4d3e-abe5-1f12d89eed53","2018-10-09T16:58:27","",
"iso19139","779b3288-c41c-4914-b59d-2e3a3e73771f","487","Cleveland Wind Buoy (45169)","2015-06-27","Marine weather buoy in the nearshore waters of Lake Erie near Cleveland. This buoy is funded through a grant administered by Great Lakes Observing System and the NOAA Great Lakes Environmental Research Laboratory through the USEPA Great Lakes Restorative Initiative. LimnoTech deploys and maintains this station using the grant dollars. This buoy is located approximately 3.5 miles northwest of the Cleveland water intake crib in 57 ft of water.","air temperature###significant wave height###wave period###water temperature###wind speed/wind direction###significant wave period###water temperature - surface###wind speed###wind from direction###air temperature###dew point###significant wave height###wind gust###NDBC ID 45169###waves###buoys###observations###GLOS###wave period###water temperature###wind speed/wind direction###Lake Erie###Cleveland###OH###Great Lakes###Longitude -81.821###Latitude 41.615###Lake Erie###Cleveland, OH###Great Lakes###WindDirection###Significant Wave Period###WindSpeed###SignificantWaveHeight###AirTemperature###Dew Point###Wind Gust###Air Pressure###WaterTemperature###water_conductivity###dissolved_oxygen_saturation###dissolved_oxygen###Solar Radiation###battery_voltage###max_wave_height###significant_wave_from_direction###observationsBuoys###climatology###temperature","-81.821###-81.821###41.615###41.615","2015-06-27","http://data.glos.us:80/metadata/srv/eng/resources.get?uuid=779b3288-c41c-4914-b59d-2e3a3e73771f&fname=45169_s.png###http://data.glos.us:80/metadata/srv/eng/resources.get?uuid=779b3288-c41c-4914-b59d-2e3a3e73771f&fname=45169.png","Ed VerhammeLimnoTech501 Avis DrAnn ArborMIeverhamme@limno.com###Kathy KochLimnoTechData Curator734-332-1200Ann ArborMIUSAkkoch@limno.com","###http://glbuoys.glos.us/45169######http://www.ndbc.noaa.gov/station_page.php?station=45169######http://data.glos.us/portal/getObsByPlatform.php?provider=glos&platform=Cleveland+Wind+Buoy+%3F+Cleveland%2C+OH######http://data.glos.us/metadata?uuid=779b3288-c41c-4914-b59d-2e3a3e73771f","2018-10-09T16:59:16","",
"iso19139","e9eccc1b-167e-473f-82bf-bc226cf6c584","490","Grand Marais Buoy (45172) [out of water for the season]","2015-06-27","Monitoring buoy on Lake Superior near Grand Marais about 4 to 5 miles off shore, owned and operated by Northern Michigan University. The buoy provides minute-by-minute observations of weather, water temperature and wave activity.","air temperature###significant wave height###wave period###water temperature###wind speed/wind direction###atmospheric pressure###significant wave period###water temperature - surface###NDBC ID 45172###GLOS###Coastal Storms Program###observations###buoys###weather###air temperature###significant wave height###wave period###water temperature###wind speed/wind direction###atmospheric pressure###Lake Superior###Grand Marais###MI###Great Lakes###Longitude -85.958###Latitude 46.742###Lake Superior###Grand Marais, MI###Great Lakes###observationsBuoys###climatology###temperature###WindDirection###WindSpeed###AirTemperature###Air Pressure###Water Temperature at Surface (faulty water temperature sensor connection - will not report this year)###Significant Wave Period###Significant Wave Height###significant_wave_from_direction","-85.958###-85.958###46.742###46.742","2015-07-09","http://data.glos.us:80/metadata/srv/eng/resources.get?uuid=e9eccc1b-167e-473f-82bf-bc226cf6c584&fname=45172_sm_s.png###http://data.glos.us:80/metadata/srv/eng/resources.get?uuid=e9eccc1b-167e-473f-82bf-bc226cf6c584&fname=45172.png","John LentersLentic Environmental ServicesSenior Scientist8449 Beach Dr.Lake TomahawkWI54539United Statesjlenters@mac.com###Northern Michigan University###Kathy KochLimnoTech / GLOSData Curator734-332-1200Ann ArborMIUSAkkoch@limno.com","###http://glbuoys.glos.us/45172######http://www.ndbc.noaa.gov/station_page.php?station=45172######http://data.glos.us/portal/getObsByPlatform.php?provider=glos&platform=45172+-+Grand+Marais+Buoy######http://data.glos.us/metadata?uuid=e9eccc1b-167e-473f-82bf-bc226cf6c584","2018-10-09T17:02:07","",
"iso19139","886d7a21-12df-4441-8717-98f10b7385f7","293","Erie buoy RSC-A (45167)","2014-07-11","In-situ buoy in Lake Erie near Presque Isle, operated by the Regional Science Consortium (RSC).","atmospheric pressure###air temperature###dew point temperature###significant wave height###wave period###water temperature###wind speed/wind direction###air pressure###waves###dew point###buoys###significant wave period###water temperature - surface###wind speed###wind gust###wind from direction###thermistor###NDBC ID 45167###NOAA_RSC_A###observations###RSC-A###atmospheric pressure###air temperature###dew point temperature###significant wave height###wave period###wave temperature###wind speed/wind direction###Lake Erie###Presque Isle###OH###Great Lakes###Longitude -80.137###Latitude 42.186###Lake Erie###Presque Isle, OH###Great Lakes###observationsBuoys###climatology###temperature###WindDirection###Air Pressure###AirTemperature###SignificantWaveHeight###significant_wave_from_direction###WindSpeed###Significant Wave Period###ysi_turbidity###dissolved_oxygen###dissolved_oxygen_saturation###ph###Solar Radiation###WaterTemperature @   3 ft###Wind Gust","-80.137###-80.137###42.186###42.186","2014-07-11","http://data.glos.us:80/metadata/srv/eng/resources.get?uuid=886d7a21-12df-4441-8717-98f10b7385f7&fname=45167_img_3384_sm_s.png###http://data.glos.us:80/metadata/srv/eng/resources.get?uuid=886d7a21-12df-4441-8717-98f10b7385f7&fname=45167_img_3384.png","Jeanette SchnarsRegional Science ConsortiumJeanette@RegSciConsort.comhttp://wqdatalive.com/public/55###Kathy KochLimnoTech / GLOSData Curator734-332-1200Ann ArborMIUSAkkoch@limno.com","###http://glbuoys.glos.us/45167######http://wqdatalive.com/public/55######http://www.ndbc.noaa.gov/station_page.php?station=45167######http://data.glos.us/portal/getObsByPlatform.php?provider=glos&platform=NOAA_RSC_A######http://data.glos.us/metadata?uuid=886d7a21-12df-4441-8717-98f10b7385f7","2018-10-09T16:57:26","",
"iso19139","191cf778-6180-4404-925b-9ee5b06d31fd","489","Granite Island Buoy (45171) [out of the water]","2015-06-27","Monitoring buoy on Lake Superior near Granite Island (located about 12 miles northwest of Marquette in the Upper Peninsula, Michigan), owned and operated by Northern Michigan University. The buoy provides minute-by-minute observations of weather, water temperature and wave activity.","sea surface temperature###sea surface height###wave height###significant wave height###water temperature###wind speed/direction###wave period###air temperature###significant wave period###water temperature - surface###NDBC ID 45171###GLOS###Coastal Storms Program###sea surface temperature###sea surface height###wave height###significant wave height###water temperature###wind speed/direction###wave period###air temperature###Lake Superior###Granite Island###MI###Great Lakes###Longitude -87.411###Latitude 46.724###Lake Superior###Granite Island, MI###Great Lakes###observationsBuoys###climatology###temperature###WindDirection###Significant Wave Period###WindSpeed###SignificantWaveHeight###AirTemperature###Air Pressure###WaterTemperature","-87.411###-87.411###46.724###46.724","2015-07-092017-11-17","http://data.glos.us:80/metadata/srv/eng/resources.get?uuid=191cf778-6180-4404-925b-9ee5b06d31fd&fname=45171_sm_s.png###http://data.glos.us:80/metadata/srv/eng/resources.get?uuid=191cf778-6180-4404-925b-9ee5b06d31fd&fname=45171.png","John LentersLentic Environmental ServicesSenior Scientist517-294-52578449 Beach Dr.Lake TomahawkWI54539United Statesjlenters@mac.com###Northern Michigan University###Kathy KochLimnoTech / GLOSData Curator734-332-1200Ann ArborMIUSAkkoch@limno.com","###http://glbuoys.glos.us/45171######http://www.ndbc.noaa.gov/station_page.php?station=45171######http://data.glos.us/portal/getObsByPlatform.php?provider=glos&platform=45171++-+Granite+Island+Buoy######http://data.glos.us/metadata?uuid=191cf778-6180-4404-925b-9ee5b06d31fd","2018-10-09T17:01:25","",
"iso19139","4cbfa856-ea71-4d51-be58-a0ce07e28c0f","488","Munising Buoy (45173)","2015-06-27","Monitoring buoy on Lake Superior near Grand Island (Munising) about 4 to 5 miles off shore, owned and operated by Northern Michigan University. The buoy provides minute-by-minute observations of weather, water temperature and wave activity.","significant wave period###water temperature - surface###NDBC ID 45173###GLOS###Coastal Storms Program###observations###buoys###weather###air temperature###significant wave height###wave period###water temperature###wind speed/wind direction###atmospheric pressure###rainfall###Longitude -86.48###Latitude 46.56###Lake Superior###Munising, MI###Great Lakes###observationsBuoys###climatology###temperature###WindDirection###Significant Wave Period###WindSpeed###SignificantWaveHeight###AirTemperature###Air Pressure###WaterTemperature###significant_wave_from_direction","-86.48###-86.48###46.56###46.56","2017-07-07","http://data.glos.us:80/metadata/srv/eng/resources.get?uuid=4cbfa856-ea71-4d51-be58-a0ce07e28c0f&fname=45173_s.png###http://data.glos.us:80/metadata/srv/eng/resources.get?uuid=4cbfa856-ea71-4d51-be58-a0ce07e28c0f&fname=45173.png","John LentersLentic Environmental ServicesSenior Scientist517-294-52578449 Beach Dr.Lake TomahawkWI54539United Statesjlenters@mac.com###Norma FroelichNorthern Michigan UniversityEEGS Department906-227-18911401 Presque Isle Ave.MarquetteMI49855nfroelic@nmu.edu###John LentersLentic Environmental ServicesSenior Scientist517-294-52578449 Beach Dr.Lake TomahawkWI54539USAjlenters@mac.com","###http://glbuoys.glos.us/45173######http://www.ndbc.noaa.gov/station_page.php?station=45173######http://data.glos.us/metadata?uuid=4cbfa856-ea71-4d51-be58-a0ce07e28c0f######http://data.glos.us/portal/getObsByPlatform.php?provider=glos&platform=Munising+Buoy","2018-10-09T17:02:50","",
"iso19139","6a0ba163-9a9e-4266-8c10-ebc25fcd84bf","1021","Mackinac Straits West Buoy (45175)","2015-08-28","The buoy at the Mackinac Straits West buoy station (NDBC Station 45175) is a Total Integrated Data Acquisition Systems (TIDAS) model S2 Yachts-900 marine research station equipped with an Acoustic Doppler Current Profiler. The buoy is removed each year during the winter months. As currently configured, the station collects wind direction, wind speed and gust speed, air and water surface temperatures, relative humidity, dew point, barometric pressure, solar radiation, significant wave height, dominant period of waves, wave direction, buoy battery voltage, and the depth and eastward and northward water velocities for each of 28 vertical bins of the water column.","NDBM moored buoy###ADCP, acoustic doppler current profiler###wind monitor###temperature/humidity sensors###barometers###pyranometers###wave height gauges###wind speed/wind direction###humidity###dew point temperature###surface temperature###water temperature###dew point###water temperature - surface###wind speed###wind from direction###NDBC ID 45175###GLOS###atmospheric pressure###air temperature###dew point temperature###significant wave height###water temperature###wind speed/wind direction###Lake Michigan###Lake Huron###Mackinac Straits###MI###Great Lakes###Longitude -84.77217###Latitude 45.82526###Lake Michigan###Lake Huron###Mackinac Straits, MI###Great Lakes###observationsBuoys###climatology###temperature###WindDirection###Significant Wave Period###WindSpeed###SignificantWaveHeight###AirTemperature###Dew Point###Wind Gust###Air Pressure###Solar Radiation###WaterTemperature###eastward_current###northward_current###battery_voltage###significant_wave_from_direction###WaterTemperature @   3 ft###WaterTemperature @  10 ft###WaterTemperature @  14 ft###WaterTemperature @  22 ft###WaterTemperature @  29 ft###WaterTemperature @  35 ft###WaterTemperature @  41 ft###WaterTemperature @  47 ft###WaterTemperature @  54 ft###WaterTemperature @  60 ft###Relative Humidity","-84.772###-84.772###45.825###45.825","2015-08-28","http://data.glos.us:80/metadata/srv/eng/resources.get?uuid=6a0ba163-9a9e-4266-8c10-ebc25fcd84bf&fname=mtu_mack_s.png###http://data.glos.us:80/metadata/srv/eng/resources.get?uuid=6a0ba163-9a9e-4266-8c10-ebc25fcd84bf&fname=mtu_mack.png","Jamey AndersonMichigan Tech University Great Lakes Research CenterCoordinator of Marine Operations906-487-2914100 Phoenix DriveHoughtonMI49931-1295USjameya@mtu.eduhttp://www.mtu.edu/greatlakesWWW:LINK-1.0-http--linkMTU Great Lakes Research Center website/homepage###Jamey AndersonMichigan Tech University Great Lakes Research CenterCoordinator of Marine Operations734-332-1200HoughtonMIUSAjameya@mtu.educall or email","###http://glbuoys.glos.us/45175######http://www.ndbc.noaa.gov/station_page.php?station=45175######http://data.glos.us/metadata?uuid=6a0ba163-9a9e-4266-8c10-ebc25fcd84bf######http://data.glos.us/portal/getObsByPlatform.php?provider=glos&platform=Mackinac+Straits+West+Buoy+%3F+Mackinac+Straits%2C+MI","2018-10-09T17:04:08","",
"iso19139","e2d416bf-f370-4de9-8cc0-4e30338cb75c","1431","Green Bay East Buoy (45184) [out of the water for the season]","2018-06-07","Lower Green Bay is a dynamic transition zone between the blue waters of Lake Michigan and nutrient rich waters of the Fox River and Lake Winnebago pool (The Fox-Wolf Watershed).  Nutrients and algal biomass deposited in the lower bay contribute to the formation of toxic algal blooms. These blooms can form and decay over short time scales and the environmental conditions under which blooms form in lower Green Bay are not well understood. The Green Bay East buoy provides real- time continuous monitoring of algal biomass and water quality conditions. This data serves as an early warning system for bloom activity and may help us to better understand environmental conditions under which blooms form in lower Green Bay.","wind from direction###wind speed###water temperature - surface###GBEastBuoy###buoys###observations###wind speed/direction###water temperature###Lake Michigan###Bay Beach###WI###Great Lakes###UWM###GBEast###chlorophyll###turbidity###ph###blue green algae###dissolved oxygen###dissolved oxygen saturation###conductivity###phycocyanin###HABs###blooms###algal blooms###area of concern###lower green bay###NDBC ID 45184###water temperature###wind speed/direction###dissolved gases###Latitude 44.550284###Longitude -87.95888###Lake Michigan###Great Lakes###Bay Beach###observationsBuoys###water_quality###habs###PortalUpload###WindDirection###WindSpeed###WaterTemperature###ysi_chlorophyll###ysi_blue_green_algae###ph###water_conductivity###dissolved_oxygen_saturation###dissolved_oxygen###ysi_turbidity","-87.95888###-87.95888###44.55028###44.55028","2018-07-12","http://data.glos.us:80/metadata/srv/eng/resources.get?uuid=e2d416bf-f370-4de9-8cc0-4e30338cb75c&fname=GBEBuoy2018_s.png###http://data.glos.us:80/metadata/srv/eng/resources.get?uuid=e2d416bf-f370-4de9-8cc0-4e30338cb75c&fname=GBEBuoy2018.png","Todd MillerUniversity of Wisconsin-MilwaukeeAssociate Professor443-255-05773135 N. Maryland Ave, KIRC 5036MilwaukeeWI53211millertr@uwm.eduhttp://www.lakestat.com/BuoyData/GBE/2018/Front2018.php###Todd MillerUniversity of Wisconsin-MilwaukeeAssociate Professormillertr@uwm.edu","###http://www.lakestat.com/BuoyData/GBE/2018/Front2018.php######http://glbuoys.glos.us/45184######http://data.glos.us/portal/getObsByPlatform.php?provider=glos&platform=Green+Bay+East+Buoy######http://data.glos.us/metadata?uuid=e2d416bf-f370-4de9-8cc0-4e30338cb75c","2018-10-09T17:09:41","",
"iso19139","8fe994f1-27d1-4410-bb4e-05082938fc01","1434","Green Bay West Buoy (45185) [out of the water for the season]","2018-06-07","Lower Green Bay is a dynamic transition zone between the blue waters of Lake Michigan and nutrient rich waters of the Fox River and Lake Winnebago pool (The Fox-Wolf Watershed).  Nutrients and algal biomass deposited in the lower bay contribute to the formation of toxic algal blooms. These blooms can form and decay over short time scales and the environmental conditions under which blooms form in lower Green Bay are not well understood. The Green Bay West buoy provides real- time continuous monitoring of algal biomass and water quality conditions. This data serves as an early warning system for bloom activity and may help us to better understand environmental conditions under which blooms form in lower Green Bay.","wind from direction###wind speed###water temperature - surface###GBWestBuoy###buoys###observations###wind speed/direction###water temperature###Lake Michigan###Long Tail Point###WI###Great Lakes###UWM###GBWest###chlorophyll###turbidity###ph###blue green algae###dissolved oxygen###dissolved oxygen saturation###conductivity###phycocyanin###HABs###blooms###algal blooms###area of concern###lower green bay###NDBC ID 45185###water temperature###wind speed/direction###dissolved gases###Latitude 44.576730###Longitude -87.987606###Lake Michigan###Great Lakes###Long Tail Point###observationsBuoys###water_quality###habs###PortalUpload###WindDirection###WindSpeed###WaterTemperature###ysi_chlorophyll###ysi_blue_green_algae###ph###water_conductivity###dissolved_oxygen_saturation###dissolved_oxygen###ysi_turbidity","-87.98761###-87.98761###44.57673###44.57673","2018-07-13","http://data.glos.us:80/metadata/srv/eng/resources.get?uuid=8fe994f1-27d1-4410-bb4e-05082938fc01&fname=GBWBuoy2018_s.png###http://data.glos.us:80/metadata/srv/eng/resources.get?uuid=8fe994f1-27d1-4410-bb4e-05082938fc01&fname=GBWBuoy2018.png","Todd MillerUniversity of Wisconsin-MilwaukeeAssociate Professor443-255-05773135 N. Maryland Ave, KIRC 5036MilwaukeeWI53211millertr@uwm.edu###Todd MillerUniversity of Wisconsin-MilwaukeeAssociate Professormillertr@uwm.edu","###http://glbuoys.glos.us/45185######http://data.glos.us/portal/getObsByPlatform.php?provider=glos&platform=Green+Bay+West+Buoy+######http://data.glos.us/metadata?uuid=8fe994f1-27d1-4410-bb4e-05082938fc01","2018-10-09T17:10:48","",
"iso19139","8298df1a-f27d-4ffa-ba8c-7ff36413dd24","1141","Cleveland Crib Buoy (45176)","2016-07-05","The buoy is located offshore of Cleveland near the water intake crib to measure surface and bottom water quality. Funding for the station is provided by the City of Cleveland with funds managed by the Great Lakes Observing System. The station is owned and maintained by LimnoTech and monitors atmospheric conditions, waves, water temperature, surface water quality.","atmospheric pressure###air temperature###dew point temperature###significant wave height###wave period###water temperature###wind speed/wind direction###air pressure###dew point###significant wave period###water temperature - surface###wind speed###wind gust###wind from direction###thermistor###NDBC ID 45176###buoys###weather###observations###waves###atmospheric pressure###air temperature###dew point temperature###significant wave height###wave period###water temperature###wind speed/wind direction###Lake Erie###Cleveland###OH###Great Lakes###GLOS_funded###Longitude -81.765###Latitude 41.550###Lake Erie###Cleveland, OH###Great Lakes###observationsBuoys###climatology###temperature###habs###WindDirection###Significant Wave Period###WindSpeed###SignificantWaveHeight###ysi_chlorophyll###ysi_blue_green_algae###AirTemperature###Dew Point###Wind Gust###Air Pressure###WaterTemperature###water_conductivity###WaterTemperature @   5 ft###WaterTemperature @  10 ft###WaterTemperature @  15 ft###WaterTemperature @  20 ft###WaterTemperature @  25 ft###WaterTemperature @  30 ft###WaterTemperature @  35 ft###WaterTemperature @  37 ft###WaterTemperature @  39 ft###WaterTemperature @  41 ft###WaterTemperature @  43 ft###WaterTemperature @  45 ft###WaterTemperature @  47 ft###WaterTemperature @  49 ft###WaterTemperature @  51 ft###battery_voltage###max_wave_height###significant_wave_from_direction","-81.765###-81.765###41.55###41.55","2016-07-05","http://data.glos.us:80/metadata/srv/eng/resources.get?uuid=8298df1a-f27d-4ffa-ba8c-7ff36413dd24&fname=45176_s.png###http://data.glos.us:80/metadata/srv/eng/resources.get?uuid=8298df1a-f27d-4ffa-ba8c-7ff36413dd24&fname=45176.png","Ed VerhammeLimnoTechProject Scientist734-332-1200501 Avis Dr.Ann ArborMI48108United Stateseverhamme@limno.com###City of Cleveland, OH###Kathy KochLimnoTech / GLOSData Curator734-332-1200Ann ArborMIUSAkkoch@limno.com","###http://glbuoys.glos.us/45176######http://www.ndbc.noaa.gov/station_page.php?station=45176######http://data.glos.us/portal/getObsByPlatform.php?provider=glos&platform=Cleveland+Crib+Buoy+%3F+Cleveland%2C+OH######http://data.glos.us/metadata?uuid=8298df1a-f27d-4ffa-ba8c-7ff36413dd24","2018-10-09T17:05:15","",
